transaction_id,timestamp,stock_symbol,price,quantity,order_type,exchange,minute,volume
tx_7668092,2023-10-01 09:00:00,AAPL,150.0,87,buy,NYSE,2023-10-01 09:00:00,421
tx_7865349,2023-10-01 09:00:00,AAPL,150.0,72,buy,NASDAQ,2023-10-01 09:00:00,421
tx_1135546,2023-10-01 09:00:00,AAPL,150.0,62,buy,NASDAQ,2023-10-01 09:00:00,421
tx_5242506,2023-10-01 09:00:00,AAPL,150.0,52,sell,NASDAQ,2023-10-01 09:00:00,421
tx_2891322,2023-10-01 09:00:00,AAPL,150.0,36,sell,NYSE,2023-10-01 09:00:00,421
tx_2353061,2023-10-01 09:00:00,AAPL,150.0,75,sell,NASDAQ,2023-10-01 09:00:00,421
tx_6139031,2023-10-01 09:00:00,AAPL,150.0,37,sell,NASDAQ,2023-10-01 09:00:00,421
tx_4085968,2023-10-01 09:01:00,AAPL,149.67,82,sell,NASDAQ,2023-10-01 09:01:00,290
tx_4932390,2023-10-01 09:01:00,AAPL,149.67,33,buy,NYSE,2023-10-01 09:01:00,290
tx_2952485,2023-10-01 09:01:00,AAPL,149.67,1,buy,NYSE,2023-10-01 09:01:00,290
tx_3997560,2023-10-01 09:01:00,AAPL,149.67,42,buy,NASDAQ,2023-10-01 09:01:00,290
tx_4127856,2023-10-01 09:01:00,AAPL,149.67,2,buy,NASDAQ,2023-10-01 09:01:00,290
tx_1838590,2023-10-01 09:01:00,AAPL,149.67,80,sell,NASDAQ,2023-10-01 09:01:00,290
tx_2763712,2023-10-01 09:01:00,AAPL,149.67,46,sell,NASDAQ,2023-10-01 09:01:00,290
tx_3298477,2023-10-01 09:01:00,AAPL,149.67,4,sell,NASDAQ,2023-10-01 09:01:00,290
tx_4882867,2023-10-01 09:02:00,AAPL,149.43,6,sell,NASDAQ,2023-10-01 09:02:00,280
tx_8894305,2023-10-01 09:02:00,AAPL,149.43,13,sell,NYSE,2023-10-01 09:02:00,280
tx_2830658,2023-10-01 09:02:00,AAPL,149.43,15,sell,NYSE,2023-10-01 09:02:00,280
tx_8626864,2023-10-01 09:02:00,AAPL,149.43,54,sell,NYSE,2023-10-01 09:02:00,280
tx_3936788,2023-10-01 09:02:00,AAPL,149.43,75,buy,NYSE,2023-10-01 09:02:00,280
tx_3580782,2023-10-01 09:02:00,AAPL,149.43,1,sell,NYSE,2023-10-01 09:02:00,280
tx_6942977,2023-10-01 09:02:00,AAPL,149.43,71,sell,NYSE,2023-10-01 09:02:00,280
tx_6209811,2023-10-01 09:02:00,AAPL,149.43,45,sell,NASDAQ,2023-10-01 09:02:00,280
tx_9746402,2023-10-01 09:03:00,AAPL,149.37,59,sell,NYSE,2023-10-01 09:03:00,164
tx_7288014,2023-10-01 09:03:00,AAPL,149.37,41,sell,NASDAQ,2023-10-01 09:03:00,164
tx_9766284,2023-10-01 09:03:00,AAPL,149.37,6,buy,NYSE,2023-10-01 09:03:00,164
tx_7053850,2023-10-01 09:03:00,AAPL,149.37,27,sell,NASDAQ,2023-10-01 09:03:00,164
tx_4507671,2023-10-01 09:03:00,AAPL,149.37,10,sell,NASDAQ,2023-10-01 09:03:00,164
tx_8755070,2023-10-01 09:03:00,AAPL,149.37,10,sell,NASDAQ,2023-10-01 09:03:00,164
tx_9873403,2023-10-01 09:03:00,AAPL,149.37,11,buy,NASDAQ,2023-10-01 09:03:00,164
tx_9324895,2023-10-01 09:04:00,AAPL,148.91,21,sell,NASDAQ,2023-10-01 09:04:00,273
tx_7942715,2023-10-01 09:04:00,AAPL,148.91,23,sell,NASDAQ,2023-10-01 09:04:00,273
tx_7189417,2023-10-01 09:04:00,AAPL,148.91,99,sell,NYSE,2023-10-01 09:04:00,273
tx_1495451,2023-10-01 09:04:00,AAPL,148.91,88,sell,NASDAQ,2023-10-01 09:04:00,273
tx_2981542,2023-10-01 09:04:00,AAPL,148.91,37,sell,NYSE,2023-10-01 09:04:00,273
tx_6402088,2023-10-01 09:04:00,AAPL,148.91,5,buy,NASDAQ,2023-10-01 09:04:00,273
tx_9727354,2023-10-01 09:05:00,AAPL,148.92,15,sell,NYSE,2023-10-01 09:05:00,32
tx_7836668,2023-10-01 09:05:00,AAPL,148.92,17,sell,NYSE,2023-10-01 09:05:00,32
tx_1634368,2023-10-01 09:06:00,AAPL,149.16,6,buy,NYSE,2023-10-01 09:06:00,268
tx_6610207,2023-10-01 09:06:00,AAPL,149.16,89,sell,NASDAQ,2023-10-01 09:06:00,268
tx_5869136,2023-10-01 09:06:00,AAPL,149.16,57,sell,NASDAQ,2023-10-01 09:06:00,268
tx_3683643,2023-10-01 09:06:00,AAPL,149.16,41,sell,NYSE,2023-10-01 09:06:00,268
tx_5180637,2023-10-01 09:06:00,AAPL,149.16,75,buy,NYSE,2023-10-01 09:06:00,268
tx_6859653,2023-10-01 09:07:00,AAPL,149.02,9,sell,NYSE,2023-10-01 09:07:00,9
tx_3951144,2023-10-01 09:08:00,AAPL,148.54,67,buy,NASDAQ,2023-10-01 09:08:00,181
tx_7921480,2023-10-01 09:08:00,AAPL,148.54,42,buy,NYSE,2023-10-01 09:08:00,181
tx_9665013,2023-10-01 09:08:00,AAPL,148.54,72,sell,NASDAQ,2023-10-01 09:08:00,181
tx_1289255,2023-10-01 09:09:00,AAPL,148.16,54,buy,NASDAQ,2023-10-01 09:09:00,184
tx_4359139,2023-10-01 09:09:00,AAPL,148.16,85,buy,NASDAQ,2023-10-01 09:09:00,184
tx_1794754,2023-10-01 09:09:00,AAPL,148.16,45,sell,NASDAQ,2023-10-01 09:09:00,184
tx_6850708,2023-10-01 09:10:00,AAPL,148.28,73,sell,NASDAQ,2023-10-01 09:10:00,180
tx_2966335,2023-10-01 09:10:00,AAPL,148.28,41,buy,NASDAQ,2023-10-01 09:10:00,180
tx_3661425,2023-10-01 09:10:00,AAPL,148.28,26,sell,NYSE,2023-10-01 09:10:00,180
tx_2434440,2023-10-01 09:10:00,AAPL,148.28,40,sell,NYSE,2023-10-01 09:10:00,180
tx_3644182,2023-10-01 09:11:00,AAPL,148.18,79,buy,NYSE,2023-10-01 09:11:00,96
tx_1215407,2023-10-01 09:11:00,AAPL,148.18,17,sell,NASDAQ,2023-10-01 09:11:00,96
tx_8417823,2023-10-01 09:12:00,AAPL,148.58,15,buy,NYSE,2023-10-01 09:12:00,173
tx_3051485,2023-10-01 09:12:00,AAPL,148.58,51,buy,NYSE,2023-10-01 09:12:00,173
tx_5811721,2023-10-01 09:12:00,AAPL,148.58,40,sell,NASDAQ,2023-10-01 09:12:00,173
tx_6651263,2023-10-01 09:12:00,AAPL,148.58,67,buy,NYSE,2023-10-01 09:12:00,173
tx_8933748,2023-10-01 09:13:00,AAPL,148.39,86,buy,NYSE,2023-10-01 09:13:00,248
tx_9278265,2023-10-01 09:13:00,AAPL,148.39,69,buy,NASDAQ,2023-10-01 09:13:00,248
